channel,bf_matrix,p_allocation,rate
"{""real"": [[-0.028602974489331245, -1.4374676942825317, 1.6257601976394653, 0.642031192779541], [1.2622569799423218, 1.0579060316085815, 0.7230871915817261, -0.1299067586660385], [-0.18229231238365173, -0.8233938217163086, -0.3547739088535309, -0.10767732560634613], [1.3260853290557861, -1.4571497440338135, 0.15256895124912262, -0.04335431754589081]], ""imag"": [[-0.687866747379303, -0.009610861539840698, -0.8410263657569885, 0.2801239788532257], [0.10609030723571777, -0.04640930891036987, 2.1749558448791504, 0.5681341290473938], [-1.7883706092834473, -0.10298030823469162, 0.037992097437381744, 1.9532302618026733], [0.3204857409000397, 0.3527427315711975, -0.6005944013595581, 0.3081487715244293]]}","{""real"": [[0.4784115254878998, 0.5666884779930115, 0.5345558524131775, 0.4052610695362091], [0.17901171743869781, -0.33256834745407104, 0.06229298561811447, 0.1715492606163025], [0.3532567322254181, -0.320782333612442, 0.3189387917518616, -0.38915422558784485], [-0.2617994546890259, -0.5498762130737305, 0.32213935256004333, 0.6530481576919556]], ""imag"": [[-0.0, -0.0, -0.0, -0.0], [0.4470466077327728, -0.055800989270210266, -0.6634266972541809, 0.42537543177604675], [-0.5547291040420532, 0.3992712199687958, -0.08670660853385925, 0.21091589331626892], [-0.19537828862667084, -0.021587111055850983, 0.23920944333076477, -0.054696615785360336]]}","{""real"": [[1.4199998378753662, 0.0, 0.0, 0.0], [0.0, 1.3635411262512207, 0.0, 0.0], [0.0, 0.0, 1.2183468341827393, 0.0], [0.0, 0.0, 0.0, 0.0]], ""imag"": [[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]}",10.560525894165039
"{""real"": [[1.0913676023483276, -0.21757590770721436, 0.12584419548511505, 1.342646837234497], [0.18365441262722015, -1.1507492065429688, -0.43310075998306274, 1.4190549850463867], [-0.11714790016412735, 0.14957910776138306, 0.5896506309509277, -0.9201231002807617], [0.4178215563297272, 0.44049984216690063, -0.4550504982471466, -0.8287184834480286]], ""imag"": [[-0.3218882977962494, 0.1463104784488678, 1.1319416761398315, 2.4916718006134033], [0.15934143960475922, -0.22064337134361267, -0.296186625957489, -1.8629578351974487], [0.32543227076530457, -0.8366060853004456, -1.528064489364624, 1.4273277521133423], [0.3617255687713623, -0.9821898937225342, 0.2829841077327728, -0.27736109495162964]]}","{""real"": [[-0.18718098104000092, -0.34310001134872437, 0.29904380440711975, -0.8705277442932129], [0.05095286667346954, 0.3463006913661957, -0.21614542603492737, -0.22169330716133118], [0.02241513691842556, 0.527255117893219, 0.28214871883392334, -0.11570236086845398], [-0.28828173875808716, 0.08475778251886368, -0.07705499976873398, 0.0021109713707119226]], ""imag"": [[-0.0, -0.0, -0.0, -0.0], [-0.16333132982254028, 0.3262684643268585, 0.7857187390327454, 0.17643801867961884], [0.040379080921411514, 0.6072872281074524, -0.3499557375907898, -0.36824852228164673], [0.9221985936164856, -0.043898262083530426, 0.19617687165737152, -0.11359906941652298]]}","{""real"": [[1.5099999904632568, 0.0, 0.0, 0.0], [0.0, 1.4052046537399292, 0.0, 0.0], [0.0, 0.0, 1.0727088451385498, 0.0], [0.0, 0.0, 0.0, 0.0]], ""imag"": [[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]}",9.793120384216309
"{""real"": [[-2.354139804840088, -1.8358943462371826, 0.9445151090621948, -1.0641471147537231], [1.704609751701355, -0.558830976486206, 0.08034751564264297, 0.021585039794445038], [0.7139869928359985, -0.5495346784591675, -0.8255794644355774, 0.4431206285953522], [-1.373396873474121, 1.6439976692199707, 0.9410868883132935, 1.503567099571228]], ""imag"": [[-1.6850059032440186, 1.5788938999176025, -0.9944088459014893, 0.36804279685020447], [1.1363636255264282, 1.0687826871871948, -0.938160240650177, -0.5260117650032043], [-1.195346713066101, -0.5697187185287476, -0.6621155142784119, -0.276140421628952], [1.4871459007263184, -0.8195543885231018, 1.3518601655960083, -0.030972395092248917]]}","{""real"": [[0.7704629898071289, -0.51058429479599, 0.2751697599887848, -0.2645227909088135], [-0.1727830320596695, -0.3371264338493347, 0.21982552111148834, 0.3761407136917114], [0.14022472500801086, 0.5814677476882935, 0.5462667942047119, -0.14567427337169647], [0.021352438256144524, 0.07498741894960403, -0.363703191280365, -0.4608912169933319]], ""imag"": [[-0.0, -0.0, -0.0, -0.0], [0.4922938346862793, 0.4331039488315582, -0.4754885137081146, 0.10327309370040894], [0.05661598965525627, -0.26159393787384033, -0.465189129114151, 0.18592076003551483], [0.33294975757598877, 0.16097111999988556, 0.05273187533020973, 0.7139132618904114]]}","{""real"": [[1.4300000667572021, 0.0, 0.0, 0.0], [0.0, 1.3875325918197632, 0.0, 0.0], [0.0, 0.0, 0.9439225792884827, 0.0], [0.0, 0.0, 0.0, 0.22850167751312256]], ""imag"": [[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]}",11.134968757629395
"{""real"": [[1.8409457206726074, -0.6748974323272705, 2.245238780975342, -0.5022727251052856], [-1.2158162593841553, 0.676680326461792, 0.6034453511238098, -0.2621264159679413], [1.0993123054504395, -0.6492100954055786, -0.28981631994247437, 1.3930906057357788], [-0.14196953177452087, -0.9162967801094055, -0.8392152190208435, 0.1985427737236023]], ""imag"": [[-0.6319206953048706, 0.31516748666763306, 0.8302221894264221, -1.1267870664596558], [0.6062478423118591, 0.06051461398601532, 0.09289543330669403, 0.46271252632141113], [-0.3524996340274811, -0.8046906590461731, 0.0044297766871750355, -0.011711915954947472], [1.158650517463684, -1.0906224250793457, -0.9639952778816223, 0.3138589560985565]]}","{""real"": [[-0.629877507686615, 0.4957798421382904, 0.5126975774765015, 0.3075677454471588], [0.36159899830818176, -0.16803748905658722, 0.28448283672332764, 0.5371789932250977], [-0.08694759756326675, 0.32696983218193054, -0.19499926269054413, -0.38006484508514404], [-0.21614402532577515, 0.08553075790405273, -0.1311539113521576, -0.36189210414886475]], ""imag"": [[-0.0, -0.0, -0.0, -0.0], [0.05795740708708763, 0.4289077818393707, -0.4811971187591553, 0.22944802045822144], [0.5331414937973022, 0.6350835561752319, -0.03137511759996414, 0.1204228401184082], [-0.36141887307167053, -0.15635935962200165, -0.6070005297660828, 0.523715078830719]]}","{""real"": [[1.5200001001358032, 0.0, 0.0, 0.0], [0.0, 1.4158532619476318, 0.0, 0.0], [0.0, 0.0, 1.0741928815841675, 0.0], [0.0, 0.0, 0.0, 0.0]], ""imag"": [[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]}",9.537439346313477
"{""real"": [[0.16042561829090118, -0.8429996967315674, 1.0567803382873535, 2.6224281787872314], [-0.2938654124736786, -0.8548762202262878, 0.22432464361190796, 0.9812496304512024], [-1.402077317237854, -0.09852191805839539, -0.8941037058830261, 0.430233359336853], [-0.6341220736503601, 1.4099246263504028, 1.9170799255371094, 1.2260241508483887]], ""imag"": [[-1.0080900192260742, 0.5494283437728882, -0.7746697068214417, 1.817332148551941], [-0.572052001953125, 0.4325302243232727, 1.1727252006530762, 1.7873523235321045], [0.2624970078468323, -0.1396433413028717, -1.5642634630203247, 0.7118127346038818], [0.6481139063835144, 0.560358464717865, 0.577121913433075, 0.5487934350967407]]}","{""real"": [[-0.22587497532367706, 0.2615543007850647, -0.800693690776825, -0.489345908164978], [0.16723601520061493, 0.30048543214797974, 0.3318556249141693, -0.4595845639705658], [0.2872575521469116, 0.7398837208747864, 0.020287280902266502, 0.2296769917011261], [0.785452127456665, -0.28180110454559326, -0.3635120987892151, 0.0816226601600647]], ""imag"": [[-0.0, -0.0, -0.0, -0.0], [-0.20590610802173615, 0.35598212480545044, -0.18987815082073212, 0.5960033535957336], [0.33864471316337585, 0.2942119240760803, 0.177760511636734, -0.2899189889431], [0.25393587350845337, -0.03427476808428764, -0.22035489976406097, 0.2250235378742218]]}","{""real"": [[1.4299999475479126, 0.0, 0.0, 0.0], [0.0, 1.3648098707199097, 0.0, 0.0], [0.0, 0.0, 1.2161020040512085, 0.0], [0.0, 0.0, 0.0, 0.0]], ""imag"": [[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]}",11.321630477905273
"{""real"": [[-0.13536040484905243, -0.275898277759552, 0.4514619708061218, -0.7542069554328918], [0.018514161929488182, -0.8960034251213074, 0.11609920859336853, 1.6323440074920654], [1.1632212400436401, 0.2801986038684845, 0.826474666595459, 0.8715960383415222], [-0.25489240884780884, 1.4442095756530762, -0.9488789439201355, 0.3227059841156006]], ""imag"": [[0.2746823728084564, -3.710198402404785, -1.6854724884033203, 0.9838002920150757], [0.9562374949455261, 1.0316556692123413, 1.2242900133132935, -0.6856606006622314], [-0.8040422797203064, -0.23113250732421875, 0.1690249741077423, 0.888077437877655], [-0.3620549440383911, 0.24858979880809784, 1.4906024932861328, 1.4409780502319336]]}","{""real"": [[0.07525983452796936, 0.1009061262011528, -0.8761709928512573, -0.4652722477912903], [0.37136977910995483, -0.20305880904197693, 0.12470617890357971, -0.21880652010440826], [0.06873515248298645, 0.03621216118335724, -0.3150712251663208, 0.6122938990592957], [0.08384063094854355, -0.5114444494247437, 0.05383627489209175, -0.19873905181884766]], ""imag"": [[-0.0, -0.0, -0.0, -0.0], [-0.7559887766838074, -0.26194268465042114, 0.08153308182954788, -0.33263128995895386], [-0.43159371614456177, 0.5742061138153076, -0.0036405734717845917, 0.06157457455992699], [0.29474595189094543, 0.5360704064369202, 0.32854756712913513, -0.4547630548477173]]}","{""real"": [[1.4199999570846558, 0.0, 0.0, 0.0], [0.0, 1.3665485382080078, 0.0, 0.0], [0.0, 0.0, 1.2007983922958374, 0.0], [0.0, 0.0, 0.0, 0.0]], ""imag"": [[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]}",11.52289867401123
"{""real"": [[0.1176636815071106, -1.6670424938201904, 0.6504842042922974, -1.8747222423553467], [-0.3387351334095001, -0.019665654748678207, 1.6709023714065552, -0.5112964510917664], [-0.06856567412614822, 0.3725471794605255, -0.947811484336853, -1.5325205326080322], [-0.06351657211780548, -0.32068178057670593, 0.5231750011444092, -0.495895653963089]], ""imag"": [[0.2746439278125763, -1.0194272994995117, 0.6445386409759521, -0.6268423795700073], [-0.8120263814926147, -0.3268091082572937, -1.2890082597732544, -0.15106850862503052], [-0.6209325790405273, 0.42401954531669617, -0.9962712526321411, 2.061105966567993], [0.30018728971481323, -1.646993637084961, 0.959184467792511, -0.6034075617790222]]}","{""real"": [[0.12846356630325317, -0.22912438213825226, -0.45981264114379883, 0.848275363445282], [-0.4413622319698334, 0.27699393033981323, -0.35083186626434326, -0.048512477427721024], [0.5189824104309082, -0.545537531375885, 0.24002650380134583, -0.0958404392004013], [-0.6038244366645813, -0.45286479592323303, 0.417783260345459, 0.19558411836624146]], ""imag"": [[-0.0, -0.0, -0.0, -0.0], [0.1810121089220047, 0.4260677695274353, 0.5072044730186462, 0.36260420083999634], [0.02644205279648304, 0.3755218982696533, 0.36890318989753723, 0.2973926067352295], [0.34826037287712097, 0.21337291598320007, -0.19996857643127441, -0.10350169241428375]]}","{""real"": [[1.4600000381469727, 0.0, 0.0, 0.0], [0.0, 1.3469462394714355, 0.0, 0.0], [0.0, 0.0, 1.1874463558197021, 0.0], [0.0, 0.0, 0.0, 0.0]], ""imag"": [[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]}",10.25118350982666
"{""real"": [[0.20442073047161102, -2.2580676078796387, -0.02787209488451481, -0.7757766842842102], [0.16571663320064545, -0.5875598192214966, -0.7233667373657227, 0.8085190653800964], [0.13379813730716705, -2.525238275527954, 0.12899993360042572, 0.05094518885016441], [0.7324769496917725, 0.7809662818908691, 0.5086864233016968, -1.5256166458129883]], ""imag"": [[0.16240432858467102, 1.7471085786819458, 0.8356767892837524, 1.5067518949508667], [-0.42041322588920593, -0.27511000633239746, -0.053832873702049255, -0.2893412411212921], [0.2511752247810364, -0.6399114727973938, -0.026981258764863014, 0.0016787609783932567], [-0.3352189064025879, 0.8051192164421082, 1.20452082157135, 1.1827558279037476]]}","{""real"": [[-0.13180704414844513, -0.13076239824295044, -0.5799487233161926, -0.7932132482528687], [0.2715633511543274, -0.3202483654022217, -0.0991244837641716, 0.08014186471700668], [-0.06297442317008972, -0.07282228022813797, 0.6835351586341858, -0.47728970646858215], [0.19374734163284302, 0.7664812207221985, -0.04735073819756508, -0.12393023073673248]], ""imag"": [[-0.0, -0.0, -0.0, -0.0], [0.8451563119888306, -0.2954917252063751, -0.028402959927916527, -0.07095953822135925], [0.24951976537704468, 0.3784847855567932, -0.2822805345058441, 0.10253015160560608], [0.3013764023780823, 0.23870441317558289, 0.3223077654838562, -0.32508164644241333]]}","{""real"": [[1.7100000381469727, 0.0, 0.0, 0.0], [0.0, 1.6252248287200928, 0.0, 0.0], [0.0, 0.0, 0.6606959104537964, 0.0], [0.0, 0.0, 0.0, 0.0]], ""imag"": [[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]}",9.4552583694458
"{""real"": [[2.1210014820098877, 1.1618320941925049, -0.2105947583913803, -0.2659296989440918], [0.16303427517414093, -0.7145822644233704, -0.3223521411418915, 0.34628164768218994], [-2.0331053733825684, -0.5485563278198242, -0.354551762342453, -1.662610650062561], [0.7678780555725098, -1.2475018501281738, 0.7572287321090698, 1.5324482917785645]], ""imag"": [[0.5528708696365356, -0.8266234397888184, 2.1099438667297363, -0.6484559774398804], [0.18655060231685638, 1.0258758068084717, -0.2449432909488678, -0.8555406332015991], [0.020726699382066727, 0.22191041707992554, -1.316590428352356, -1.5869849920272827], [0.5794799327850342, 0.2883063852787018, -0.47891727089881897, -2.4997777938842773]]}","{""real"": [[-0.4211018681526184, -0.6291635036468506, 0.5146102905273438, 0.40249598026275635], [-0.11931128054857254, -0.23750914633274078, -0.5070990920066833, 0.1522604376077652], [-0.2116139978170395, 0.05318145453929901, 0.12482492625713348, -0.2978598475456238], [-0.5130198001861572, 0.2964586317539215, -0.0805765837430954, 0.02969692274928093]], ""imag"": [[-0.0, -0.0, -0.0, -0.0], [-0.3613227605819702, 0.1205594539642334, -0.5233783721923828, 0.479591965675354], [0.46982571482658386, 0.30298590660095215, 0.20554740726947784, 0.7023555040359497], [0.3862360417842865, -0.5921927094459534, -0.3738696873188019, -0.04358817636966705]]}","{""real"": [[1.4499999284744263, 0.0, 0.0, 0.0], [0.0, 1.4220249652862549, 0.0, 0.0], [0.0, 0.0, 1.125867247581482, 0.0], [0.0, 0.0, 0.0, 0.0]], ""imag"": [[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]}",11.3638277053833
"{""real"": [[-0.0019971439614892006, 1.6285741329193115, 0.9844281077384949, -2.51690936088562], [-0.5413275957107544, 1.0900005102157593, 1.1641132831573486, -1.4245319366455078], [-1.4017224311828613, 0.48954159021377563, -0.23793990910053253, -0.3039133846759796], [-0.9988667368888855, 1.2564102411270142, 0.3851422369480133, -0.18727341294288635]], ""imag"": [[-1.0425602197647095, 0.6212956309318542, -0.30415400862693787, 1.213369607925415], [-0.3795960545539856, -1.3696203231811523, -0.830528974533081, 0.7532798051834106], [-0.7940157055854797, -0.39643481373786926, 0.20033307373523712, 0.41697534918785095], [-2.6726338863372803, 0.20061343908309937, 0.31539472937583923, -2.145218849182129]]}","{""real"": [[0.5178157091140747, -0.6915562152862549, -0.38803455233573914, 0.321007639169693], [-0.2810389995574951, -0.182374969124794, 0.11641710996627808, 0.2011721134185791], [-0.17103037238121033, -0.16853387653827667, -0.3921639025211334, -0.5612378716468811], [0.47826436161994934, 0.23659619688987732, 0.014118088409304619, -0.24471350014209747]], ""imag"": [[-0.0, -0.0, -0.0, -0.0], [-0.39212262630462646, 0.27216625213623047, -0.5682249069213867, 0.5319954752922058], [-0.23180025815963745, -0.12407426536083221, -0.45541486144065857, -0.4438873827457428], [0.43290209770202637, 0.5609270334243774, -0.3893609344959259, 0.03944937139749527]]}","{""real"": [[1.5200001001358032, 0.0, 0.0, 0.0], [0.0, 1.4517042636871338, 0.0, 0.0], [0.0, 0.0, 1.0346174240112305, 0.0], [0.0, 0.0, 0.0, 0.0]], ""imag"": [[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0]]}",10.894475936889648
